Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Log_Return,Realized_Volatility_Daily,Rolling_Mean_Log_Return
2015-02-02,32.62942123413086,39.06999969482422,0.0,39.279998779296875,38.5,38.779998779296875,0.0,223713,0.0144370833411788,33.60094665273871,0.0040891467541464
2015-02-03,33.79862976074219,40.470001220703125,0.0,40.75,39.29499816894531,39.29499816894531,0.0,237597,0.0352058888279477,31.917897089107843,0.0074622532826955
2015-02-04,34.278839111328125,41.04499816894531,0.0,41.14500045776367,39.92499923706055,40.44499969482422,0.0,338651,0.0141079662148631,31.949917806088436,0.0080034967711938
2015-02-05,34.72147750854492,41.57500076293945,0.0,42.13999938964844,40.34000015258789,40.665000915527344,0.0,370955,0.0128302155972528,31.738220351200063,0.0087450238451772
2015-02-06,34.81752014160156,41.689998626708984,0.0,41.744998931884766,41.08000183105469,41.369998931884766,0.0,157631,0.0027622685793648,29.976187673020092,0.0071003012299181
2015-02-09,33.761043548583984,40.42499923706055,0.0,41.5,40.185001373291016,41.32500076293945,0.0,178996,-0.0308131323863729,31.991280106068583,0.0063207869388501
2015-02-10,33.40610885620117,40.0,0.0,40.57500076293945,39.53499984741211,40.4900016784668,0.0,223174,-0.0105687969045436,32.07965487018115,0.0062567116551788
2015-02-11,33.097103118896484,39.630001068115234,0.0,40.040000915527344,39.43000030517578,39.81999969482422,0.0,141940,-0.0092930236583436,32.455579358291374,0.0052406494801242
2015-02-12,33.84873580932617,40.529998779296875,0.0,40.619998931884766,39.68000030517578,39.875,0.0,151751,0.0224558923303136,32.53598827712181,0.0067479447456305
2015-02-13,33.710941314697266,40.3650016784668,0.0,40.8650016784668,40.334999084472656,40.51499938964844,0.0,135374,-0.0040791990597994,32.137537364919645,0.0054364956362307
2015-02-16,33.97818374633789,40.685001373291016,0.0,40.779998779296875,40.01499938964844,40.29999923706055,0.0,94367,0.0078962113913802,32.110722599079416,0.0053453597751324
2015-02-17,32.87995529174805,39.369998931884766,0.0,40.56999969482422,38.75,40.56999969482422,0.0,273637,-0.0328554537012913,30.71169436512481,0.0014927213145436
2015-02-18,33.58566665649414,40.21500015258789,0.0,40.21500015258789,39.5,39.625,0.0,178773,0.021236177903409,30.163164463467428,0.001223381105019
2015-02-19,36.24563217163086,43.400001525878906,0.0,43.71500015258789,41.5,41.86000061035156,0.0,827123,0.076219493873441,40.08407806841742,0.0045018368553922
2015-02-20,37.25615692138672,44.61000061035156,0.0,44.98500061035156,43.685001373291016,44.4900016784668,0.0,518002,0.0274983354235617,40.89235953160511,0.0056007015105904
2015-02-23,37.0849494934082,44.404998779296875,0.0,45.36000061035156,43.755001068115234,45.099998474121094,0.0,269190,-0.0046060043741491,41.025181037700634,0.0053213744968416
